Average runtime of the hanoi program for n going from 0 to 100000 with 20 tests

n = 34100	Runtime = 0.0006664299980911892
n = 34200	Runtime = 0.0006701549973513465
n = 34300	Runtime = 0.0006735499991918914
n = 34400	Runtime = 0.000726371999917319
n = 34500	Runtime = 0.000691107998136431
n = 34600	Runtime = 0.0007036119968688581
n = 34700	Runtime = 0.0009289670015277807
n = 34800	Runtime = 0.00079725500108907
n = 34900	Runtime = 0.0007630529980815481
n = 35000	Runtime = 0.0007427849996020086
n = 35100	Runtime = 0.000715501002559904
n = 35200	Runtime = 0.0007180549982876983
n = 35300	Runtime = 0.0007202070009952877
n = 35400	Runtime = 0.000714138997864211
n = 35500	Runtime = 0.000781661001383327
n = 35600	Runtime = 0.0007153629994718358
n = 35700	Runtime = 0.0007882789977884386
n = 35800	Runtime = 0.0007856579977669753
n = 35900	Runtime = 0.0007560349986306392
n = 36000	Runtime = 0.0008115250020637177
n = 36100	Runtime = 0.0007459119988197926
n = 36200	Runtime = 0.000746200999856228
n = 36300	Runtime = 0.0007246999994094949
n = 36400	Runtime = 0.0007324619982682634
n = 36500	Runtime = 0.0008752899993851315
n = 36600	Runtime = 0.0007548470020992681
n = 36700	Runtime = 0.0007578529985039495
n = 36800	Runtime = 0.0007671659986954182
n = 36900	Runtime = 0.0007518279999203514
n = 37000	Runtime = 0.0010800609998113941
n = 37100	Runtime = 0.0009275079974031541
n = 37200	Runtime = 0.0010677940008463338
n = 37300	Runtime = 0.0009645819991419557
n = 37400	Runtime = 0.0009999030007747933
n = 37500	Runtime = 0.0007922040022094734
n = 37600	Runtime = 0.0008011319987417664
n = 37700	Runtime = 0.0008288529970741365
n = 37800	Runtime = 0.0009312289985246025
n = 37900	Runtime = 0.0008416250020673033
n = 38000	Runtime = 0.0007957630004966632
n = 38100	Runtime = 0.0007909110026957933
n = 38200	Runtime = 0.0007936830006656237
n = 38300	Runtime = 0.00082368299990776
n = 38400	Runtime = 0.0008387660018343013
n = 38500	Runtime = 0.0008006409989320673
n = 38600	Runtime = 0.0008050460019148886
n = 38700	Runtime = 0.0008164860009856056
n = 38800	Runtime = 0.0008173469977919012
n = 38900	Runtime = 0.001107484000385739
n = 39000	Runtime = 0.001027026999508962
n = 39100	Runtime = 0.0011413120009819977
n = 39200	Runtime = 0.0008559609996154904
n = 39300	Runtime = 0.0008706519984116312
n = 39400	Runtime = 0.0008423760009463876
n = 39500	Runtime = 0.0009044120015460066
n = 39600	Runtime = 0.0008774380003160331
n = 39700	Runtime = 0.0009129360005317722
n = 39800	Runtime = 0.0009311909998359624
n = 39900	Runtime = 0.00097086299865623
n = 40000	Runtime = 0.0009061290002136957
n = 40100	Runtime = 0.0009416450011485722
n = 40200	Runtime = 0.0009009009991132189
n = 40300	Runtime = 0.0008949190014391206
n = 40400	Runtime = 0.0009280359990953002
n = 40500	Runtime = 0.0010612519981805235
n = 40600	Runtime = 0.0013778350003121886
n = 40700	Runtime = 0.001121624001825694
n = 40800	Runtime = 0.0011829979994217865
n = 40900	Runtime = 0.001187519999803044
n = 41000	Runtime = 0.0011463310002000071
n = 41100	Runtime = 0.0011500900000100955
n = 41200	Runtime = 0.0012911220001114998
n = 41300	Runtime = 0.0011945859987463336
n = 41400	Runtime = 0.0011780849999922793
n = 41500	Runtime = 0.0011851069975818973
n = 41600	Runtime = 0.0012432199982868042
n = 41700	Runtime = 0.0011695610010065138
n = 41800	Runtime = 0.001177026002551429
n = 41900	Runtime = 0.0012071240016666707
n = 42000	Runtime = 0.0014426950001507066
n = 42100	Runtime = 0.0011959980001847725
n = 42200	Runtime = 0.0012658519990509376
n = 42300	Runtime = 0.0011984039992967155
n = 42400	Runtime = 0.0012057060012011789
n = 42500	Runtime = 0.001199104000988882
n = 42600	Runtime = 0.0012532270011433866
n = 42700	Runtime = 0.001230644000315806
n = 42800	Runtime = 0.0012890990001324099
n = 42900	Runtime = 0.0011272160008957144
n = 43000	Runtime = 0.00105786800122587
n = 43100	Runtime = 0.0009964609998860396
n = 43200	Runtime = 0.0010363389992562588
n = 43300	Runtime = 0.0009757580010045785
n = 43400	Runtime = 0.0012689030008914415
n = 43500	Runtime = 0.0011256959987804294
n = 43600	Runtime = 0.0013446800003293902
n = 43700	Runtime = 0.0010377229991718195
n = 43800	Runtime = 0.0010413849995529745
n = 43900	Runtime = 0.0010993079995387234
n = 44000	Runtime = 0.001157355000032112
n = 44100	Runtime = 0.0011228190014662687
n = 44200	Runtime = 0.0010330750010325573
n = 44300	Runtime = 0.0011037939984817058
n = 44400	Runtime = 0.001037210997310467
n = 44500	Runtime = 0.0010392239964858163
n = 44600	Runtime = 0.0010560579976299778
n = 44700	Runtime = 0.0010909379998338409
n = 44800	Runtime = 0.0010887110001931433
n = 44900	Runtime = 0.0014172020019032061
n = 45000	Runtime = 0.0011607660017034505
n = 45100	Runtime = 0.0010731740003393497
n = 45200	Runtime = 0.0010594880004646257
n = 45300	Runtime = 0.0010754370014183223
n = 45400	Runtime = 0.0011471920006442815
n = 45500	Runtime = 0.0011103190008725505
n = 45600	Runtime = 0.0011350360000506043
n = 45700	Runtime = 0.0011352290021022782
n = 45800	Runtime = 0.001104810999095207
n = 45900	Runtime = 0.001110989000153495
n = 46000	Runtime = 0.0011191349985892884
n = 46100	Runtime = 0.0011978779984929133
n = 46200	Runtime = 0.0011234020021220203
n = 46300	Runtime = 0.00113497200072743
n = 46400	Runtime = 0.00147097599983681
n = 46500	Runtime = 0.0011213440011488274
n = 46600	Runtime = 0.001147090002632467
n = 46700	Runtime = 0.0011511500015330967
n = 46800	Runtime = 0.0011471449979580939
n = 46900	Runtime = 0.0011365460013621487
n = 47000	Runtime = 0.0011844969994854182
n = 47100	Runtime = 0.001156513000751147
n = 47200	Runtime = 0.0011635820010269526
n = 47300	Runtime = 0.0011490530014270917
n = 47400	Runtime = 0.001207727997098118
n = 47500	Runtime = 0.0011525019981490914
n = 47600	Runtime = 0.001162769000075059
n = 47700	Runtime = 0.0011591910006245598
n = 47800	Runtime = 0.0015224769995256793
n = 47900	Runtime = 0.0011923710007977206
n = 48000	Runtime = 0.0011809720017481595
n = 48100	Runtime = 0.0011885599997185636
n = 48200	Runtime = 0.0011850839982798789
n = 48300	Runtime = 0.0011886949978361372
n = 48400	Runtime = 0.0012775649993272964
n = 48500	Runtime = 0.0011628329993982334
n = 48600	Runtime = 0.0011756059975596145
n = 48700	Runtime = 0.001181494997581467
n = 48800	Runtime = 0.0011781069988501258
n = 48900	Runtime = 0.0011268640009802766
n = 49000	Runtime = 0.001139128999056993
n = 49100	Runtime = 0.0012401639978634194
n = 49200	Runtime = 0.001354412001091987
n = 49300	Runtime = 0.001164255998446606
